Prompt (Rule),Response (Python Code),Nu:rpa:
க்+க,def check_rule(word): return 'க்' in word and 'க' in word,"மெய்ந் நிலை சுட்டின் எல்லா எழுத்தும்
தம் முன் தாம் வரூஉம் ர ழ அலங்கடையே. ⁠30"
"ங்+க, ங",def check_rule(word): return 'ங்' in word and ('க' in word or 'ங' in word),"ங ஞ ண ந ம ன எனும் புள்ளி முன்னர்
தம்தம் இசைகள் ஒத்தன நிலையே. ⁠25

மெய்ந் நிலை சுட்டின் எல்லா எழுத்தும்
தம் முன் தாம் வரூஉம் ர ழ அலங்கடையே. ⁠30"
ச்+ச,def check_rule(word): return 'ச்' in word and 'ச' in word,"மெய்ந் நிலை சுட்டின் எல்லா எழுத்தும்
தம் முன் தாம் வரூஉம் ர ழ அலங்கடையே. ⁠30"
"ஞ்+ச, ஞ, ய",def check_rule(word): return 'ஞ்' in word and ('ச' in word or 'ஞ' in word or 'ய' in word),"ங ஞ ண ந ம ன எனும் புள்ளி முன்னர்
தம்தம் இசைகள் ஒத்தன நிலையே. ⁠25

ஞ ந ம வ என்னும் புள்ளி முன்னர்
யஃகான் நிற்றல் மெய் பெற்றன்றே. ⁠27

மெய்ந் நிலை சுட்டின் எல்லா எழுத்தும்
தம் முன் தாம் வரூஉம் ர ழ அலங்கடையே. ⁠30"
"ட்+க, ச, ட, ப",def check_rule(word): return 'ட்' in word and ('க' in word or 'ச' in word or 'ட' in word or 'ப' in word),"ட ற ல ள என்னும் புள்ளி முன்னர்
க ச ப என்னும் மூ எழுத்து உரிய. ⁠23

மெய்ந் நிலை சுட்டின் எல்லா எழுத்தும்
தம் முன் தாம் வரூஉம் ர ழ அலங்கடையே. ⁠30"
"ண்+க, ச, ஞ, ட, ண, ப, ம, ய, வ","def check_rule(word): return 'ண்' in word and any(c in word for c in ['க', 'ச', 'ஞ', 'ட', 'ண', 'ப', 'ம', 'ய', 'வ'])","ங ஞ ண ந ம ன எனும் புள்ளி முன்னர்
தம்தம் இசைகள் ஒத்தன நிலையே. ⁠25

அவற்றுள்,
ண னஃகான் முன்னர்
க ச ஞ ப ம ய வ ஏழும் உரிய. ⁠26

மெய்ந் நிலை சுட்டின் எல்லா எழுத்தும்
தம் முன் தாம் வரூஉம் ர ழ அலங்கடையே. ⁠30"
த்+த,def check_rule(word): return 'த்' in word and 'த' in word,"மெய்ந் நிலை சுட்டின் எல்லா எழுத்தும்
தம் முன் தாம் வரூஉம் ர ழ அலங்கடையே. ⁠30"
"ந்+த, ந, ய",def check_rule(word): return 'ந்' in word and ('த' in word or 'ந' in word or 'ய' in word),"ங ஞ ண ந ம ன எனும் புள்ளி முன்னர்
தம்தம் இசைகள் ஒத்தன நிலையே. ⁠25

ஞ ந ம வ என்னும் புள்ளி முன்னர்
யஃகான் நிற்றல் மெய் பெற்றன்றே. ⁠27

மெய்ந் நிலை சுட்டின் எல்லா எழுத்தும்
தம் முன் தாம் வரூஉம் ர ழ அலங்கடையே. ⁠30"
ப்+ப,def check_rule(word): return 'ப்' in word and 'ப' in word,"மெய்ந் நிலை சுட்டின் எல்லா எழுத்தும்
தம் முன் தாம் வரூஉம் ர ழ அலங்கடையே. ⁠30"
"ம்+ப, ம, ய, வ","def check_rule(word): return 'ம்' in word and any(c in word for c in ['ப', 'ம', 'ய', 'வ'])","ங ஞ ண ந ம ன எனும் புள்ளி முன்னர்
தம்தம் இசைகள் ஒத்தன நிலையே. ⁠25

ஞ ந ம வ என்னும் புள்ளி முன்னர்
யஃகான் நிற்றல் மெய் பெற்றன்றே. ⁠27

மஃகான் புள்ளி முன் வவ்வும் தோன்றும். ⁠28

மெய்ந் நிலை சுட்டின் எல்லா எழுத்தும்
தம் முன் தாம் வரூஉம் ர ழ அலங்கடையே. ⁠30"
"ய்+க, ங, ச, ஞ, த, ந, ப, ம, ய, வ","def check_rule(word): return 'ய்' in word and any(c in word for c in ['க', 'ங', 'ச', 'ஞ', 'த', 'ந', 'ப', 'ம', 'ய', 'வ'])","ய ர ழ என்னும் புள்ளி முன்னர்
முதல் ஆகு எழுத்து ஙகரமொடு தோன்றும். ⁠29

மெய்ந் நிலை சுட்டின் எல்லா எழுத்தும்
தம் முன் தாம் வரூஉம் ர ழ அலங்கடையே. ⁠30

ய ர ழ என்னும் மூன்றும் முன் ஒற்ற
க ச த ப ங ஞ ந ம ஈர் ஒற்று ஆகும். ⁠15"
"ர்+க, ங, ச, ஞ, த, ந, ப, ம, ய, வ","def check_rule(word): return 'ர்' in word and any(c in word for c in ['க', 'ங', 'ச', 'ஞ', 'த', 'ந', 'ப', 'ம', 'ய', 'வ'])","ய ர ழ என்னும் புள்ளி முன்னர்
முதல் ஆகு எழுத்து ஙகரமொடு தோன்றும். ⁠29

ய ர ழ என்னும் மூன்றும் முன் ஒற்ற
க ச த ப ங ஞ ந ம ஈர் ஒற்று ஆகும். ⁠15"
"ழ்+க, ங, ச, ஞ, த, ந, ப, ம, ய, வ","def check_rule(word): return 'ழ்' in word and any(c in word for c in ['க', 'ங', 'ச', 'ஞ', 'த', 'ந', 'ப', 'ம', 'ய', 'வ'])","ய ர ழ என்னும் புள்ளி முன்னர்
முதல் ஆகு எழுத்து ஙகரமொடு தோன்றும். ⁠29

ய ர ழ என்னும் மூன்றும் முன் ஒற்ற
க ச த ப ங ஞ ந ம ஈர் ஒற்று ஆகும். ⁠15
"
வ்+வ,def check_rule(word): return 'வ்' in word and 'வ' in word,"ஞ ந ம வ என்னும் புள்ளி முன்னர்
யஃகான் நிற்றல் மெய் பெற்றன்றே. ⁠27

மெய்ந் நிலை சுட்டின் எல்லா எழுத்தும்
தம் முன் தாம் வரூஉம் ர ழ அலங்கடையே. ⁠30"
"ல்+க, ச, ப, ல, ய, வ","def check_rule(word): return 'ல்' in word and any(c in word for c in ['க', 'ச', 'ப', 'ல', 'ய', 'வ'])","ட ற ல ள என்னும் புள்ளி முன்னர்
க ச ப என்னும் மூ எழுத்து உரிய. ⁠23

அவற்றுள்,
ல ளஃகான் முன்னர் ய வவும் தோன்றும். ⁠24

மெய்ந் நிலை சுட்டின் எல்லா எழுத்தும்
தம் முன் தாம் வரூஉம் ர ழ அலங்கடையே. ⁠30"
"ள்+க, ச, ப, ள, ய, வ","def check_rule(word): return 'ள்' in word and any(c in word for c in ['க', 'ச', 'ப', 'ழ', 'ய', 'வ'])","ட ற ல ள என்னும் புள்ளி முன்னர்
க ச ப என்னும் மூ எழுத்து உரிய. ⁠23

அவற்றுள்,
ல ளஃகான் முன்னர் ய வவும் தோன்றும். ⁠24

மெய்ந் நிலை சுட்டின் எல்லா எழுத்தும்
தம் முன் தாம் வரூஉம் ர ழ அலங்கடையே. ⁠30"
"ற்+க, ச, ப, ற","def check_rule(word): return 'ற்' in word and any(c in word for c in ['க', 'ச', 'ப', 'ற'])","ட ற ல ள என்னும் புள்ளி முன்னர்
க ச ப என்னும் மூ எழுத்து உரிய. ⁠23
மெய்ந் நிலை சுட்டின் எல்லா எழுத்தும்
தம் முன் தாம் வரூஉம் ர ழ அலங்கடையே. ⁠30"
"ன்+க, ச, ஞ, ப, ம, ய, வ, ற, ன","def check_rule(word): return 'ன்' in word and any(c in word for c in ['க', 'ச', 'ஞ', 'ப', 'ம', 'ய', 'வ', 'ற', 'ந'])","ங ஞ ண ந ம ன எனும் புள்ளி முன்னர்
தம்தம் இசைகள் ஒத்தன நிலையே. ⁠25

அவற்றுள்,
ண னஃகான் முன்னர்
க ச ஞ ப ம ய வ ஏழும் உரிய. ⁠26

மெய்ந் நிலை சுட்டின் எல்லா எழுத்தும்
தம் முன் தாம் வரூஉம் ர ழ அலங்கடையே. ⁠30"
"ர், ழ் குறில் எழுத்திற்குப் பின்பு வராது","def check_rule(word): return ('ர்' in word or 'ழ்' in word) and not any(c in word for c in ['அ', 'ஆ', 'இ', 'ஈ', 'உ', 'ஊ'])","அவற்றுள்,
ரகார ழகாரம் குற்றொற்று ஆகா. ⁠16"
